job	entities	triples	P31s	classes	download (real)	download (user)	download (system)	r2g (real)	r2g (user)	r2g (sys)	simplify (real)	simplify (user)	simplify (sys)	shex (real)	shex (user)	shex (sys)	html (real)	html (user)	html (sys)
13th-riigikogu-members-limit-50	50	5834	1928	437	0.512	0.166	0.030	368.762	75.250	2.551	8.002	25.109	0.690	89.833	136.463	4.825	0.421	0.378	0.023
federal-chancellors-of-germany	9	23173	8181	898	1.042	0.409	0.067	822.377	186.251	6.964	12.533	32.361	1.042	408.201	478.506	9.906	0.541	0.490	0.049
films-3+-oscars	176	157052	36709	2523	4.013	2.773	0.311	2061.542	291.868	16.125	25.058	41.646	1.339	2155.388	2240.201	10.298	0.882	0.804	0.056
humans-most-sitelinks-limit-50	50	87185	25910	2555	6.403	1.635	0.148	2283.319	337.366	17.504	27.016	44.295	1.461	3585.962	3683.831	13.181	0.948	0.900	0.046
largest-cities-limit-25	24	57633	19339	1505	7.168	1.356	0.191	1294.851	263.296	15.537	22.758	39.875	1.458	1337.985	1419.528	8.890	0.771	0.743	0.027
mammal-taxa-limit-20000	20000	152916	29016	911	17.792	3.683	0.326	694.152	126.846	4.539	10.105	27.369	0.727	264.337	343.579	7.566	0.467	0.429	0.037
programming-languages-most-statements-limit-50	50	12036	3737	770	1.703	0.283	0.038	462.177	132.497	5.790	10.234	28.314	0.787	251.087	315.397	6.317	0.503	0.461	0.040
recently-edited-rfcs-limit-500	500	19344	1991	189	3.518	0.505	0.038	177.360	40.690	1.050	4.567	15.321	0.425	31.537	72.137	2.766	0.326	0.279	0.046
un-member-states	193	281312	80030	3208	20.154	5.270	0.528	2895.548	490.997	32.505	48.640	66.055	2.204	5944.830	6043.277	15.260	1.348	1.314	0.033
us-presidents	47	33538	10712	1223	4.850	0.954	0.214	1127.336	192.116	7.352	15.068	31.913	1.113	611.937	704.667	11.391	0.555	0.493	0.059
wikimedia-chapters	37	24204	7301	1038	3.047	0.559	0.049	882.229	185.336	9.284	17.550	41.469	1.415	630.063	725.344	9.972	0.598	0.560	0.036
